exercise_slug,location
incline_pushup,home
incline_pushup,gym
incline_pushup,hotel
incline_pushup,office
incline_pushup,outdoor
decline_pushup,gym
decline_pushup,home
decline_pushup,outdoor
diamond_pushup,home
diamond_pushup,gym
diamond_pushup,hotel
diamond_pushup,outdoor
wide_pushup,home
wide_pushup,gym
wide_pushup,hotel
wide_pushup,outdoor
pike_pushup,home
pike_pushup,gym
pike_pushup,hotel
pike_pushup,outdoor
wall_pushup,home
wall_pushup,gym
wall_pushup,hotel
wall_pushup,office
wall_pushup,outdoor
db_bench_press,gym
db_bench_press,home
db_shoulder_press,gym
db_shoulder_press,home
db_lateral_raise,gym
db_lateral_raise,home
db_front_raise,gym
db_front_raise,home
bb_bench_press,gym
bb_ohp,gym
arnold_press,gym
arnold_press,home
chest_dips,gym
tricep_dips_chair,home
tricep_dips_chair,office
tricep_dips_chair,hotel
band_chest_press,home
band_chest_press,hotel
band_chest_press,office
band_shoulder_press,home
band_shoulder_press,hotel
band_shoulder_press,office
chinup,gym
chinup,home
chinup,outdoor
negative_pullup,gym
negative_pullup,home
db_single_arm_row,gym
db_single_arm_row,home
bb_bent_row,gym
db_seated_row,gym
db_seated_row,home
face_pull,gym
face_pull,home
band_pull_apart,home
band_pull_apart,office
band_pull_apart,hotel
band_pull_apart,outdoor
db_bicep_curl,gym
db_bicep_curl,home
hammer_curl,gym
hammer_curl,home
band_row,home
band_row,hotel
band_row,office
trx_row,gym
trx_row,home
trx_row,outdoor
lat_pulldown,gym
db_tricep_ext,gym
db_tricep_ext,home
goblet_squat,gym
goblet_squat,home
bb_back_squat,gym
bb_front_squat,gym
bulgarian_split_squat,gym
bulgarian_split_squat,home
bulgarian_split_squat,outdoor
forward_lunge,home
forward_lunge,gym
forward_lunge,outdoor
reverse_lunge,home
reverse_lunge,gym
reverse_lunge,outdoor
reverse_lunge,hotel
lateral_lunge,home
lateral_lunge,gym
lateral_lunge,outdoor
step_up,gym
step_up,home
step_up,outdoor
step_up,office
rdl,gym
rdl,home
deadlift,gym
sumo_deadlift,gym
