exercise_slug,muscle_slug,role
incline_pushup,chest,primary
incline_pushup,triceps,secondary
incline_pushup,deltoids,secondary
incline_pushup,rectus_abdominis,stabiliser
decline_pushup,chest,primary
decline_pushup,triceps,secondary
decline_pushup,deltoids,secondary
diamond_pushup,triceps,primary
diamond_pushup,chest,secondary
diamond_pushup,deltoids,stabiliser
wide_pushup,chest,primary
wide_pushup,triceps,secondary
wide_pushup,deltoids,stabiliser
pike_pushup,deltoids,primary
pike_pushup,triceps,secondary
pike_pushup,upper_back,stabiliser
wall_pushup,chest,primary
wall_pushup,triceps,secondary
wall_pushup,deltoids,stabiliser
db_bench_press,chest,primary
db_bench_press,triceps,secondary
db_bench_press,deltoids,secondary
db_shoulder_press,deltoids,primary
db_shoulder_press,triceps,secondary
db_shoulder_press,upper_back,stabiliser
db_lateral_raise,deltoids,primary
db_lateral_raise,upper_back,stabiliser
db_front_raise,deltoids,primary
db_front_raise,upper_back,stabiliser
bb_bench_press,chest,primary
bb_bench_press,triceps,secondary
bb_bench_press,deltoids,secondary
bb_ohp,deltoids,primary
bb_ohp,triceps,secondary
bb_ohp,upper_back,stabiliser
bb_ohp,rectus_abdominis,stabiliser
arnold_press,deltoids,primary
arnold_press,triceps,secondary
arnold_press,upper_back,stabiliser
chest_dips,chest,primary
chest_dips,triceps,secondary
chest_dips,deltoids,stabiliser
tricep_dips_chair,triceps,primary
tricep_dips_chair,deltoids,secondary
tricep_dips_chair,chest,stabiliser
band_chest_press,chest,primary
band_chest_press,triceps,secondary
band_chest_press,deltoids,secondary
band_shoulder_press,deltoids,primary
band_shoulder_press,triceps,secondary
chinup,lats,primary
chinup,biceps,primary
chinup,upper_back,secondary
chinup,rotator_cuff,stabiliser
negative_pullup,lats,primary
negative_pullup,upper_back,secondary
negative_pullup,biceps,secondary
db_single_arm_row,lats,primary
db_single_arm_row,upper_back,secondary
db_single_arm_row,biceps,secondary
db_single_arm_row,rotator_cuff,stabiliser
bb_bent_row,lats,primary
bb_bent_row,upper_back,primary
bb_bent_row,biceps,secondary
bb_bent_row,erector_spinae,stabiliser
db_seated_row,lats,primary
db_seated_row,upper_back,secondary
db_seated_row,biceps,secondary
face_pull,upper_back,primary
face_pull,rotator_cuff,primary
face_pull,deltoids,secondary
band_pull_apart,upper_back,primary
band_pull_apart,rotator_cuff,secondary
band_pull_apart,deltoids,stabiliser
db_bicep_curl,biceps,primary
db_bicep_curl,forearms,stabiliser
hammer_curl,biceps,primary
hammer_curl,forearms,secondary
band_row,lats,primary
